iteration,scenario,metric,run,score
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,IC,r4,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,IC,r5,91.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,NR,r1,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,NR,r2,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,NR,r3,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,NR,r4,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,NR,r5,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,DLC,r1,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,DLC,r2,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,DLC,r3,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,DLC,r4,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,DLC,r5,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,RAC,r1,66.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,RAC,r2,66.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,RAC,r3,66.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,RAC,r4,100.0
2nd iteration,Deliver Goods / Equipment FS-Persona-cot,RAC,r5,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,T,r1,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,T,r2,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,T,r3,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,T,r4,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,T,r5,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,MAI,r1,44.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,MAI,r2,95.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,MAI,r3,50.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,MAI,r4,95.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,MAI,r5,40.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_A,r1,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_A,r2,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_A,r3,85.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_A,r4,66.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_A,r5,0.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_Q,r1,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_Q,r2,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_Q,r3,0.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_Q,r4,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_Q,r5,66.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_P,r1,100.0
